"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Rockies","5899","8.1 %","20.7 %","0.39",".283",".345",".474",".819",".191","4.8",".332","5.3","1.9","-6.0","844","149.4",".349","101"
"Red Sox","6293","8.8 %","18.1 %","0.49",".283",".349",".463",".813",".180","4.6",".320","5.9","1.5","3.2","895","154.0",".348","114"
"Cubs","5935","10.8 %","20.0 %","0.54",".263",".352",".444",".796",".181","4.2",".304","11.8","9.8","-4.2","820","120.5",".343","112"
"Cardinals","5897","8.8 %","20.6 %","0.43",".260",".332",".454",".786",".194","3.9",".296","-11.6","1.4","-6.7","782","87.6",".336","110"
"Tigers","6104","8.1 %","21.2 %","0.38",".268",".332",".439",".771",".172","4.0",".313","-10.5","-2.8","-3.6","783","63.9",".331","107"
"Nationals","5832","9.0 %","19.3 %","0.46",".261",".333",".439",".772",".179","4.9",".294","5.8","5.2","5.1","743","55.6",".330","102"
"Diamondbacks","5926","7.7 %","22.0 %","0.35",".267",".328",".444",".772",".177","5.9",".317","8.4","-2.2","11.6","753","54.7",".329","98"
"Blue Jays","6200","10.2 %","21.8 %","0.47",".249",".331",".428",".758",".179","3.7",".290","1.6","-8.2","-2.4","780","49.5",".328","105"
"Indians","6130","8.7 %","20.1 %","0.43",".262",".330",".430",".760",".168","5.1",".304","9.3","-4.3","10.8","767","44.7",".327","100"
"Pirates","5940","9.3 %","20.1 %","0.46",".263",".340",".414",".754",".151","4.9",".312","-8.3","1.6","0.2","741","40.8",".327","103"
"Orioles","6061","7.7 %","21.6 %","0.36",".256",".318",".445",".762",".188","2.5",".291","6.0","1.1","-4.6","755","40.8",".326","103"
"Mariners","6202","8.1 %","20.6 %","0.39",".260",".327",".431",".759",".172","3.7",".298","-7.4","-2.5","-3.6","772","41.4",".326","109"
"Brewers","5752","10.3 %","24.5 %","0.42",".251",".331",".421",".752",".170","4.8",".308","-3.0","-1.8","10.1","708","30.0",".324","99"
"Rangers","6067","7.2 %","20.0 %","0.36",".262",".322",".434",".756",".172","4.4",".298","-3.1","3.3","1.8","746","30.9",".324","95"
"Dodgers","5846","8.8 %","20.5 %","0.43",".256",".328",".423",".751",".167","3.6",".297","5.8","1.1","-4.8","716","27.4",".324","104"
"Giants","5899","9.4 %","16.2 %","0.58",".265",".338",".409",".747",".144","5.0",".301","-4.3","3.9","-2.3","716","21.3",".323","102"
"Mets","5792","8.6 %","20.2 %","0.43",".252",".324",".428",".751",".175","3.4",".285","-7.8","1.3","-2.0","701","19.2",".322","104"
"Reds","5767","7.6 %","19.7 %","0.39",".265",".326",".424",".750",".159","5.3",".308","-4.5","-3.6","3.8","696","16.8",".322","96"
"Marlins","5816","7.6 %","18.7 %","0.41",".270",".331",".408",".739",".138","4.4",".317","5.3","-2.3","-0.5","687","1.6",".319","101"
"Twins","6217","8.2 %","22.7 %","0.36",".251",".317",".423",".739",".171","4.7",".300","-1.4","7.3","1.9","730","-2.4",".318","96"
"Astros","6181","9.0 %","23.4 %","0.38",".247",".319",".418",".737",".171","4.5",".298","-0.3","-4.3","-0.8","725","-3.0",".317","102"
"Rays","6021","7.4 %","24.5 %","0.30",".244",".308",".427",".734",".183","4.1",".294","-0.4","6.1","-6.1","694","-14.9",".315","99"
"Angels","6020","7.8 %","16.3 %","0.48",".260",".323",".406",".728",".145","4.0",".290","-10.4","-3.8","-2.6","692","-16.8",".315","99"
"White Sox","6109","7.4 %","20.9 %","0.36",".258",".318",".410",".728",".152","4.4",".304","-1.3","1.4","-2.6","700","-19.6",".314","97"
"Braves","5878","8.4 %","19.3 %","0.44",".261",".329",".397",".726",".135","4.2",".309","-2.3","-1.6","-2.1","666","-26.3",".313","93"
"Yankees","6038","7.9 %","19.4 %","0.40",".253",".315",".406",".722",".153","4.0",".289","8.6","-0.2","2.2","678","-32.9",".312","92"
"Royals","6031","6.3 %","20.2 %","0.31",".262",".313",".401",".714",".139","4.9",".309","-5.6","-5.4","6.7","659","-51.8",".308","90"
"Padres","5690","7.7 %","23.9 %","0.32",".242",".306",".404",".711",".162","5.0",".293","16.6","4.5","3.6","612","-58.3",".306","90"
"Phillies","5677","7.3 %","22.3 %","0.33",".246",".307",".396",".703",".150","4.6",".295","3.0","0.1","-2.1","599","-70.2",".303","86"
"Athletics","5998","7.4 %","18.9 %","0.39",".247",".305",".396",".701",".149","3.6",".281","-10.9","-8.9","-2.4","631","-75.3",".303","90"
